id,rank,discipline,sex,salary
140,Prof,A,Male,152664
141,AssocProf,A,Male,100102
142,AssocProf,A,Male,81500
143,Prof,A,Male,106608
144,AsstProf,B,Male,89942
145,Prof,B,Male,112696
146,Prof,B,Male,119015
147,AsstProf,B,Male,92000
148,Prof,B,Male,156938
149,Prof,B,Female,144651
150,AsstProf,B,Male,95079
151,Prof,B,Male,128148
152,AsstProf,B,Male,92000
153,Prof,B,Male,111168
154,AssocProf,B,Female,103994
155,AsstProf,B,Male,92000
156,Prof,B,Male,118971
157,AssocProf,B,Male,113341
158,AsstProf,B,Male,88000
159,AssocProf,B,Male,95408
160,Prof,B,Male,137167
161,AsstProf,B,Male,89516
162,Prof,B,Male,176500
163,AssocProf,B,Male,98510
164,AsstProf,B,Male,89942
165,AsstProf,B,Male,88795
166,Prof,B,Male,105890
167,Prof,B,Male,167284
168,Prof,B,Male,130664
169,AssocProf,B,Male,101210
170,Prof,B,Male,181257
171,AsstProf,B,Male,91227
172,Prof,B,Male,151575
173,Prof,B,Male,93164
174,Prof,B,Male,134185
175,AssocProf,B,Male,105000
176,Prof,B,Male,111751
177,AssocProf,B,Male,95436
178,AssocProf,B,Male,100944
179,Prof,B,Male,147349
180,AsstProf,B,Female,92000
181,Prof,B,Male,142467
182,Prof,B,Male,141136
183,AssocProf,B,Male,100000
184,Prof,B,Male,150000
185,Prof,B,Male,101000
186,Prof,B,Male,134000
187,AssocProf,B,Female,103750
188,Prof,B,Male,107500
189,AssocProf,B,Male,106300
190,Prof,B,Male,153750
191,Prof,B,Male,180000
192,Prof,B,Male,133700
193,Prof,B,Male,122100
194,AssocProf,B,Male,86250
195,AssocProf,B,Male,90000
196,AssocProf,B,Male,113600
197,AsstProf,B,Male,92700
198,AsstProf,B,Male,92000
199,Prof,B,Male,189409
200,Prof,B,Male,114500
201,AsstProf,B,Male,92700
202,Prof,B,Male,119700
203,Prof,B,Male,160400
204,Prof,B,Male,152500
205,Prof,B,Male,165000
206,Prof,B,Male,96545
207,Prof,B,Male,162200
208,Prof,B,Male,120000
209,AsstProf,B,Male,91300
210,Prof,B,Male,163200
211,AsstProf,B,Male,91000
212,Prof,B,Male,111350
213,Prof,B,Male,128400
214,Prof,B,Male,126200
215,AssocProf,B,Male,118700
216,Prof,B,Male,145350
217,Prof,B,Male,146000
218,AssocProf,B,Male,105350
219,AssocProf,B,Female,109650
220,Prof,B,Male,119500
221,Prof,B,Male,170000
222,Prof,B,Male,145200
223,AssocProf,B,Male,107150
224,Prof,B,Male,129600
225,Prof,A,Male,87800
226,Prof,A,Male,122400
227,AsstProf,A,Male,63900
228,AssocProf,A,Male,70000
229,Prof,A,Male,88175
230,Prof,A,Male,133900
231,Prof,A,Female,91000
232,AssocProf,A,Female,73300
233,Prof,A,Male,148750
234,Prof,A,Female,117555
235,AsstProf,A,Male,69700
236,Prof,A,Male,81700
237,Prof,A,Male,114000
238,AsstProf,A,Female,63100
239,Prof,A,Male,77202
240,Prof,A,Male,96200
241,AsstProf,A,Male,69200
242,Prof,A,Male,122875
243,Prof,A,Male,102600
244,Prof,A,Male,108200
245,Prof,A,Male,84273
246,Prof,A,Female,90450
247,Prof,A,Male,91100
248,Prof,A,Male,101100
249,Prof,A,Male,128800
250,Prof,A,Male,204000
251,Prof,A,Male,109000
252,Prof,A,Male,102000
253,Prof,A,Male,132000
254,AsstProf,A,Female,77500
255,Prof,A,Female,116450
256,AssocProf,A,Male,83000
257,Prof,A,Male,140300
258,AssocProf,A,Male,74000
259,AsstProf,A,Male,73800
260,Prof,A,Male,92550
261,AssocProf,A,Male,88600
262,Prof,A,Male,107550
263,Prof,A,Male,121200
264,Prof,A,Male,126000
265,Prof,A,Male,99000
266,Prof,A,Male,134800
267,Prof,A,Male,143940
268,Prof,A,Male,104350
269,Prof,A,Male,89650
270,Prof,A,Male,103700
271,Prof,A,Male,143250
272,Prof,A,Male,194800
273,AsstProf,A,Male,73000
274,AsstProf,A,Male,74000
275,AsstProf,A,Female,78500
276,Prof,A,Male,93000
277,Prof,A,Male,107200
278,Prof,A,Male,163200
279,Prof,A,Male,107100
280,Prof,A,Male,100600
281,Prof,A,Male,136500
282,Prof,A,Male,103600
283,Prof,A,Male,57800
284,Prof,A,Male,155865
285,AssocProf,A,Male,88650
286,AssocProf,A,Male,81800
287,Prof,A,Male,115800
288,AsstProf,A,Male,85000
289,Prof,A,Male,150500
290,AsstProf,A,Male,74000
291,Prof,A,Male,174500
292,Prof,A,Male,168500
293,Prof,A,Male,183800
294,AssocProf,A,Male,104800
295,Prof,A,Male,107300
296,Prof,A,Male,97150
297,Prof,A,Male,126300
298,Prof,A,Male,148800
299,Prof,A,Male,72300
300,AssocProf,A,Male,70700
301,Prof,A,Male,88600
302,Prof,A,Male,127100
303,Prof,A,Male,170500
304,Prof,A,Male,105260
305,Prof,A,Male,144050
306,Prof,A,Male,111350
307,AsstProf,A,Male,74500
308,Prof,A,Male,122500
309,AsstProf,A,Male,74000
310,Prof,A,Male,166800
311,Prof,A,Male,92050
312,Prof,A,Male,108100
313,Prof,A,Male,94350
314,Prof,A,Male,100351
315,Prof,A,Male,146800
316,AsstProf,B,Male,84716
317,AssocProf,B,Female,71065
318,Prof,B,Male,67559
319,Prof,B,Male,134550
320,Prof,B,Male,135027
321,Prof,B,Male,104428
322,AssocProf,B,Male,95642
323,AssocProf,B,Male,126431
324,Prof,B,Female,161101
325,Prof,B,Male,162221
326,AsstProf,B,Male,84500
327,Prof,B,Male,124714
328,Prof,B,Male,151650
329,AssocProf,B,Male,99247
330,Prof,B,Male,134778
331,Prof,B,Male,192253
332,Prof,B,Male,116518
333,Prof,B,Female,105450
334,Prof,B,Male,145098
335,AssocProf,B,Female,104542
336,Prof,B,Male,151445
337,Prof,B,Male,98053
338,Prof,B,Male,145000
339,Prof,B,Male,128464
340,Prof,B,Male,137317
341,Prof,B,Male,106231
342,Prof,B,Female,124312
343,Prof,B,Male,114596
344,Prof,B,Male,162150
345,Prof,B,Male,150376
346,Prof,B,Male,107986
347,Prof,B,Male,142023
348,Prof,B,Male,128250
349,AsstProf,B,Male,80139
350,Prof,B,Male,144309
351,Prof,B,Male,186960
352,Prof,B,Male,93519
353,Prof,B,Male,142500
354,Prof,B,Male,138000
355,AsstProf,B,Male,83600
356,Prof,B,Male,145028
357,Prof,A,Male,88709
358,Prof,A,Male,107309
359,Prof,A,Female,109954
360,AsstProf,A,Male,78785
361,Prof,A,Male,121946
362,Prof,A,Female,109646
363,Prof,A,Male,138771
364,AssocProf,A,Male,81285
365,Prof,A,Male,205500
366,Prof,A,Male,101036
367,Prof,A,Male,115435
368,AssocProf,A,Male,108413
369,Prof,A,Male,131950
370,Prof,A,Male,134690
371,AssocProf,A,Male,78182
372,Prof,A,Male,110515
373,Prof,A,Male,109707
374,Prof,A,Male,136660
375,Prof,A,Male,103275
376,Prof,A,Male,103649
377,AsstProf,A,Male,74856
378,AsstProf,A,Male,77081
379,Prof,A,Male,150680
380,AssocProf,A,Male,104121
381,AsstProf,A,Male,75996
382,Prof,A,Male,172505
383,AssocProf,A,Male,86895
384,Prof,A,Male,105000
385,Prof,A,Male,125192
386,Prof,A,Male,114330
387,Prof,A,Male,139219
388,Prof,A,Male,109305
389,Prof,A,Male,119450
390,Prof,A,Male,186023
391,Prof,A,Male,166605
392,Prof,A,Male,151292
393,Prof,A,Male,103106
394,Prof,A,Male,150564
395,Prof,A,Male,101738
396,Prof,A,Male,95329
397,AsstProf,A,Male,81035
398,Prof,A,Male,102000
399,Prof,A,Male,132000
400,AsstProf,A,Female,77500
401,Prof,A,Female,116450
402,AssocProf,A,Male,83000
403,Prof,A,Male,140300
404,AssocProf,A,Male,74000
405,AsstProf,A,Male,73800
406,Prof,A,Male,92550
407,AssocProf,A,Male,88600
408,Prof,A,Male,107550
409,Prof,A,Male,121200
410,Prof,A,Male,126000
411,Prof,A,Male,99000
412,Prof,A,Male,134800
413,Prof,A,Male,143940
414,Prof,A,Male,104350
415,Prof,A,Male,89650
416,Prof,A,Male,103700
417,Prof,A,Male,143250
418,Prof,A,Male,194800
419,AsstProf,A,Male,73000
420,AsstProf,A,Male,74000
421,AsstProf,A,Female,78500
422,Prof,A,Male,93000
423,Prof,A,Male,107200
424,Prof,A,Male,163200
425,Prof,A,Male,107100
426,Prof,A,Male,100600
427,Prof,A,Male,136500
428,Prof,A,Male,103600
429,Prof,A,Male,57800
430,Prof,A,Male,155865
431,AssocProf,A,Male,88650
432,AssocProf,A,Male,81800
433,Prof,A,Male,115800
434,AsstProf,A,Male,85000
435,Prof,A,Male,150500
436,AsstProf,A,Male,74000
437,Prof,A,Male,174500
438,Prof,A,Male,168500
439,Prof,A,Male,183800
440,AssocProf,A,Male,104800
441,Prof,A,Male,107300
442,Prof,A,Male,97150
443,Prof,A,Male,126300
444,Prof,A,Male,148800
445,Prof,A,Male,72300
446,AssocProf,A,Male,70700
447,Prof,A,Male,88600
448,Prof,A,Male,127100
449,Prof,A,Male,170500
450,Prof,A,Male,105260
451,Prof,A,Male,144050
452,Prof,A,Male,111350
453,AsstProf,A,Male,74500
454,Prof,A,Male,122500
455,AsstProf,A,Male,74000
456,Prof,A,Male,166800
457,Prof,A,Male,92050
458,Prof,A,Male,108100
459,Prof,A,Male,94350
460,Prof,A,Male,100351
461,Prof,A,Male,146800
462,AsstProf,B,Male,84716
463,AssocProf,B,Female,71065
464,Prof,B,Male,67559
465,Prof,B,Male,134550
466,Prof,B,Male,135027
467,Prof,B,Male,104428
468,AssocProf,B,Male,95642
469,AssocProf,B,Male,126431
470,Prof,B,Female,161101
471,Prof,B,Male,162221
472,AsstProf,B,Male,84500
473,Prof,B,Male,124714
474,Prof,B,Male,151650
475,AssocProf,B,Male,99247
476,Prof,B,Male,134778
477,Prof,B,Male,192253
478,Prof,B,Male,116518
479,Prof,B,Female,105450
480,Prof,B,Male,145098
481,AssocProf,B,Female,104542
482,Prof,B,Male,151445
483,Prof,B,Male,98053
484,Prof,B,Male,145000
485,Prof,B,Male,128464
486,Prof,B,Male,137317
487,Prof,B,Male,106231
488,Prof,B,Female,124312
489,Prof,B,Male,114596
490,Prof,B,Male,162150
491,Prof,B,Male,150376
492,Prof,B,Male,107986
493,Prof,B,Male,142023
494,Prof,B,Male,128250
495,AsstProf,B,Male,80139
496,Prof,B,Male,144309
497,Prof,B,Male,186960
498,Prof,B,Male,93519
499,Prof,B,Male,142500
500,Prof,B,Male,138000
501,AsstProf,B,Male,83600
502,Prof,B,Male,145028
503,Prof,A,Male,88709
504,Prof,A,Male,107309
505,Prof,A,Female,109954
506,AsstProf,A,Male,78785
507,Prof,A,Male,121946
508,Prof,A,Female,109646
509,Prof,A,Male,138771
510,AssocProf,A,Male,81285
511,Prof,A,Male,205500
512,Prof,A,Male,101036
513,Prof,A,Male,115435
514,AssocProf,A,Male,108413
515,Prof,A,Male,131950
516,Prof,A,Male,134690
517,AssocProf,A,Male,78182
518,Prof,A,Male,110515
519,Prof,A,Male,109707
520,Prof,A,Male,136660
521,Prof,A,Male,103275
522,Prof,A,Male,103649
523,AsstProf,A,Male,74856
524,AsstProf,A,Male,77081
525,Prof,A,Male,150680
526,AssocProf,A,Male,104121
527,AsstProf,A,Male,75996
528,Prof,A,Male,172505
529,AssocProf,A,Male,86895
530,Prof,A,Male,105000
531,Prof,A,Male,125192
532,Prof,A,Male,114330
533,Prof,A,Male,139219
534,Prof,A,Male,109305
535,Prof,A,Male,119450
536,Prof,A,Male,186023
537,Prof,A,Male,166605
538,Prof,A,Male,151292
539,Prof,A,Male,103106
540,Prof,A,Male,150564
541,Prof,A,Male,101738
542,Prof,A,Male,95329
543,AsstProf,A,Male,81035
544,Prof,B,Male,139750
545,Prof,B,Male,173200
546,AsstProf,B,Male,79750
547,Prof,B,Male,115000
548,Prof,B,Male,141500
549,AssocProf,B,Male,97000
550,Prof,B,Male,175000
551,Prof,B,Male,147765
552,Prof,B,Male,119250
553,Prof,B,Female,129000
554,AssocProf,B,Male,119800
555,AsstProf,B,Male,79800
556,AsstProf,B,Male,77700
557,AsstProf,B,Male,78000
558,Prof,B,Male,104800
559,Prof,B,Male,117150
560,Prof,B,Male,101000
561,Prof,A,Male,103450
562,Prof,A,Male,124750
563,Prof,A,Female,137000
564,Prof,A,Male,89565
565,Prof,A,Male,102580
566,Prof,A,Male,93904
567,Prof,A,Male,113068
568,AssocProf,A,Female,74830
569,Prof,A,Male,106294
570,Prof,A,Male,134885
571,AsstProf,B,Male,82379
572,AsstProf,B,Male,77000
573,Prof,B,Male,118223
574,Prof,B,Male,132261
575,AsstProf,B,Male,79916
576,Prof,B,Male,117256
577,AsstProf,B,Male,80225
578,AsstProf,B,Female,80225
579,AsstProf,B,Female,77000
580,Prof,B,Male,155750
581,AsstProf,B,Male,86373
582,Prof,B,Male,125196
583,AssocProf,B,Male,100938
584,Prof,B,Male,146500
585,AssocProf,B,Male,93418
586,Prof,B,Male,101299
587,Prof,B,Male,231545
588,Prof,B,Male,94384
589,Prof,B,Male,114778
590,Prof,B,Male,98193
591,Prof,B,Female,151768
592,Prof,B,Female,140096
593,AsstProf,B,Male,70768
594,Prof,B,Male,126621
595,Prof,B,Male,108875
596,AsstProf,B,Female,74692
597,Prof,B,Male,106639
598,AssocProf,B,Male,103760
599,AssocProf,B,Male,83900
600,Prof,B,Male,117704
601,AssocProf,B,Male,90215
602,AssocProf,B,Male,100135
603,AsstProf,B,Male,75044
604,AssocProf,B,Male,90304
605,AsstProf,B,Male,75243
606,Prof,B,Male,109785
607,AssocProf,B,Female,103613
608,AsstProf,B,Male,68404
609,AssocProf,B,Male,100522
610,Prof,B,Male,101000
611,Prof,B,Male,99418
612,Prof,B,Female,111512
613,Prof,B,Male,91412
614,Prof,B,Male,126320
615,Prof,B,Male,146856
616,Prof,B,Male,100131
617,Prof,B,Male,92391
618,Prof,B,Male,113398
619,AsstProf,B,Male,73266
620,Prof,B,Male,150480
621,Prof,B,Male,193000
622,AsstProf,B,Male,86100
623,AsstProf,B,Male,84240
624,Prof,B,Male,150743
625,Prof,B,Male,135585
626,Prof,B,Male,144640
627,AsstProf,B,Male,88825
628,Prof,B,Female,122960
629,Prof,B,Male,132825
630,Prof,B,Male,152708
631,AsstProf,B,Male,88400
632,Prof,B,Male,172272
633,AssocProf,B,Male,107008
634,AsstProf,B,Female,97032
635,AssocProf,B,Male,105128
636,AssocProf,B,Male,105631
637,Prof,B,Male,166024
638,Prof,B,Male,123683
639,AsstProf,B,Male,84000
640,AssocProf,B,Male,95611
641,Prof,B,Male,129676
642,Prof,B,Male,102235
643,Prof,B,Male,106689
644,Prof,B,Male,133217
645,Prof,B,Male,126933
646,Prof,B,Male,153303
647,Prof,B,Female,127512
648,AssocProf,A,Male,83850
649,Prof,A,Male,113543
650,AssocProf,A,Male,82099
651,AssocProf,A,Male,82600
652,AssocProf,A,Male,81500
653,Prof,A,Male,131205
654,Prof,A,Male,112429
655,AssocProf,A,Male,82100
656,AsstProf,A,Male,72500
657,Prof,A,Male,104279
658,Prof,A,Female,105000
659,Prof,A,Male,120806
660,Prof,A,Male,148500
661,Prof,A,Male,117515
662,AsstProf,A,Male,72500
663,AsstProf,A,Female,73500
664,Prof,A,Male,115313
665,Prof,A,Male,124309
666,Prof,A,Male,97262
667,AssocProf,A,Female,62884
668,Prof,A,Male,96614
669,Prof,A,Male,78162
670,Prof,A,Male,155500
671,AsstProf,A,Female,72500
672,Prof,A,Male,113278
673,AsstProf,A,Male,73000
674,AssocProf,A,Male,83001
675,Prof,A,Male,76840
676,AssocProf,A,Female,77500
677,AsstProf,A,Female,72500
678,Prof,A,Male,168635
679,Prof,A,Male,136000
680,Prof,A,Male,108262
681,Prof,A,Male,105668
682,AssocProf,A,Male,73877
683,Prof,A,Male,152664
684,AssocProf,A,Male,100102
685,AssocProf,A,Male,81500
686,Prof,A,Male,106608
687,AsstProf,B,Male,89942
688,Prof,B,Male,112696
689,Prof,B,Male,119015
690,AsstProf,B,Male,92000
691,Prof,B,Male,156938
692,Prof,B,Female,144651
693,AsstProf,B,Male,95079
694,Prof,B,Male,128148
695,AsstProf,B,Male,92000
696,Prof,B,Male,111168
697,AssocProf,B,Female,103994
698,AsstProf,B,Male,92000
699,Prof,B,Male,118971
700,AssocProf,B,Male,113341
701,AsstProf,B,Male,88000
702,AssocProf,B,Male,95408
703,Prof,B,Male,137167
704,AsstProf,B,Male,89516
705,Prof,B,Male,176500
706,AssocProf,B,Male,98510
707,AsstProf,B,Male,89942
708,AsstProf,B,Male,88795
709,Prof,B,Male,105890
710,Prof,B,Male,167284
711,Prof,B,Male,130664
712,AssocProf,B,Male,101210
713,Prof,B,Male,181257
714,AsstProf,B,Male,91227
715,Prof,B,Male,151575
716,Prof,B,Male,93164
717,Prof,B,Male,134185
718,AssocProf,B,Male,105000
719,Prof,B,Male,111751
720,AssocProf,B,Male,95436
721,AssocProf,B,Male,100944
722,Prof,B,Male,147349
723,AsstProf,B,Female,92000
724,Prof,B,Male,142467
725,Prof,B,Male,141136
726,AssocProf,B,Male,100000
727,Prof,B,Male,150000
728,Prof,B,Male,101000
729,Prof,B,Male,134000
730,AssocProf,B,Female,103750
731,Prof,B,Male,107500
732,AssocProf,B,Male,106300
733,Prof,B,Male,153750
734,Prof,B,Male,180000
735,Prof,B,Male,133700
736,Prof,B,Male,122100
737,AssocProf,B,Male,86250
738,AssocProf,B,Male,90000
739,AssocProf,B,Male,113600
740,AsstProf,B,Male,92700
741,AsstProf,B,Male,92000
742,Prof,B,Male,189409
743,Prof,B,Male,114500
744,AsstProf,B,Male,92700
745,Prof,B,Male,119700
746,Prof,B,Male,160400
747,Prof,B,Male,152500
748,Prof,B,Male,165000
749,Prof,B,Male,96545
750,Prof,B,Male,162200
751,Prof,B,Male,120000
752,AsstProf,B,Male,91300
753,Prof,B,Male,163200
754,AsstProf,B,Male,91000
755,Prof,B,Male,111350
756,Prof,B,Male,128400
757,Prof,B,Male,126200
758,AssocProf,B,Male,118700
759,Prof,B,Male,145350
760,Prof,B,Male,146000
761,AssocProf,B,Male,105350
762,AssocProf,B,Female,109650
763,Prof,B,Male,119500
764,Prof,B,Male,170000
765,Prof,B,Male,145200
766,AssocProf,B,Male,107150
767,Prof,B,Male,129600
768,Prof,A,Male,87800
769,Prof,A,Male,122400
770,AsstProf,A,Male,63900
771,AssocProf,A,Male,70000
772,Prof,A,Male,88175
773,Prof,A,Male,133900
774,Prof,A,Female,91000
775,AssocProf,A,Female,73300
776,Prof,A,Male,148750
777,Prof,A,Female,117555
778,AsstProf,A,Male,69700
779,Prof,A,Male,81700
780,Prof,A,Male,114000
781,AsstProf,A,Female,63100
782,Prof,A,Male,77202
783,Prof,A,Male,96200
784,AsstProf,A,Male,69200
785,Prof,A,Male,122875
786,Prof,A,Male,102600
787,Prof,A,Male,108200
788,Prof,A,Male,84273
789,Prof,A,Female,90450
790,Prof,A,Male,91100
791,Prof,A,Male,101100
792,Prof,A,Male,128800
793,Prof,A,Male,204000
794,Prof,A,Male,109000
795,Prof,A,Male,102000
796,Prof,A,Male,132000
797,AsstProf,A,Female,77500
798,Prof,A,Female,116450
799,AssocProf,A,Male,83000
800,Prof,A,Male,140300
801,AssocProf,A,Male,74000
802,AsstProf,A,Male,73800
803,Prof,A,Male,92550
804,AssocProf,A,Male,88600
805,Prof,A,Male,107550
806,Prof,A,Male,121200
807,Prof,A,Male,126000
808,Prof,A,Male,99000
809,Prof,A,Male,134800
810,Prof,A,Male,143940
811,Prof,A,Male,104350
812,Prof,A,Male,89650
813,Prof,A,Male,103700
814,Prof,A,Male,143250
815,Prof,A,Male,194800
816,AsstProf,A,Male,73000
817,AsstProf,A,Male,74000
818,AsstProf,A,Female,78500
819,Prof,A,Male,93000
820,Prof,A,Male,107200
821,Prof,A,Male,163200
822,Prof,A,Male,107100
823,Prof,A,Male,100600
824,Prof,A,Male,136500
825,Prof,A,Male,103600
826,Prof,A,Male,57800
827,Prof,A,Male,155865
828,AssocProf,A,Male,88650
829,AssocProf,A,Male,81800
830,Prof,A,Male,115800
831,AsstProf,A,Male,85000
832,Prof,A,Male,150500
833,AsstProf,A,Male,74000
834,Prof,A,Male,174500
835,Prof,A,Male,168500
836,Prof,A,Male,183800
837,AssocProf,A,Male,104800
838,Prof,A,Male,107300
839,Prof,A,Male,97150
840,Prof,A,Male,126300
841,Prof,A,Male,148800
842,Prof,A,Male,72300
843,AssocProf,A,Male,70700
844,Prof,A,Male,88600
845,Prof,A,Male,127100
846,Prof,A,Male,170500
847,Prof,A,Male,105260
848,Prof,A,Male,144050
849,Prof,A,Male,111350
850,AsstProf,A,Male,74500
851,Prof,A,Male,122500
852,AsstProf,A,Male,74000
853,Prof,A,Male,166800
854,Prof,A,Male,92050
855,Prof,A,Male,108100
856,Prof,A,Male,94350
857,Prof,A,Male,100351
858,Prof,A,Male,146800
859,AsstProf,B,Male,84716
860,AssocProf,B,Female,71065
861,Prof,B,Male,67559
862,Prof,B,Male,134550
863,Prof,B,Male,135027
864,Prof,B,Male,104428
865,AssocProf,B,Male,95642
866,AssocProf,B,Male,126431
867,Prof,B,Female,161101
868,Prof,B,Male,162221
869,AsstProf,B,Male,84500
870,Prof,B,Male,124714
871,Prof,B,Male,151650
872,AssocProf,B,Male,99247
873,Prof,B,Male,134778
874,Prof,B,Male,192253
875,Prof,B,Male,116518
876,Prof,B,Female,105450
877,Prof,B,Male,145098
878,AssocProf,B,Female,104542
879,Prof,B,Male,151445
880,Prof,B,Male,98053
881,Prof,B,Male,145000
882,Prof,B,Male,128464
883,Prof,B,Male,137317
884,Prof,B,Male,106231
885,Prof,B,Female,124312
886,Prof,B,Male,114596
887,Prof,B,Male,162150
888,Prof,B,Male,150376
889,Prof,B,Male,107986
890,Prof,B,Male,142023
891,Prof,B,Male,128250
892,AsstProf,B,Male,80139
893,Prof,B,Male,144309
894,Prof,B,Male,186960
895,Prof,B,Male,93519
896,Prof,B,Male,142500
897,Prof,B,Male,138000
898,AsstProf,B,Male,83600
899,Prof,B,Male,145028
900,Prof,A,Male,88709
901,Prof,A,Male,107309
902,Prof,A,Female,109954
903,AsstProf,A,Male,78785
904,Prof,A,Male,121946
905,Prof,A,Female,109646
906,Prof,A,Male,138771
907,AssocProf,A,Male,81285
908,Prof,A,Male,205500
909,Prof,A,Male,101036
910,Prof,A,Male,115435
911,AssocProf,A,Male,108413
912,Prof,A,Male,131950
913,Prof,A,Male,134690
914,AssocProf,A,Male,78182
915,Prof,A,Male,110515
916,Prof,A,Male,109707
917,Prof,A,Male,136660
918,Prof,A,Male,103275
919,Prof,A,Male,103649
920,AsstProf,A,Male,74856
921,AsstProf,A,Male,77081
922,Prof,A,Male,150680
923,AssocProf,A,Male,104121
924,AsstProf,A,Male,75996
925,Prof,A,Male,172505
926,AssocProf,A,Male,86895
927,Prof,A,Male,105000
928,Prof,A,Male,125192
929,Prof,A,Male,114330
930,Prof,A,Male,139219
931,Prof,A,Male,109305
932,Prof,A,Male,119450
933,Prof,A,Male,186023
934,Prof,A,Male,166605
935,Prof,A,Male,151292
936,Prof,A,Male,103106
937,Prof,A,Male,150564
938,Prof,A,Male,101738
939,Prof,A,Male,95329
940,AsstProf,A,Male,81035
941,Prof,A,Male,102000
942,Prof,A,Male,132000
943,AsstProf,A,Female,77500
944,Prof,A,Female,116450
945,AssocProf,A,Male,83000
946,Prof,A,Male,140300
947,AssocProf,A,Male,74000
948,AsstProf,A,Male,73800
949,Prof,A,Male,92550
950,AssocProf,A,Male,88600
951,Prof,A,Male,107550
952,Prof,A,Male,121200
953,Prof,A,Male,126000
954,Prof,A,Male,99000
